Tracking Id,Clicks,Items Ordered,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Returned Revenue,Total Earnings,Bonus,Items Shipped Earnings,Items Returned Earnings
tallchairadvi-20,34.0,-,-,-,-,-,-,-,0.0,-,-
Other,58.0,22.0,2073.41,22.0,0.0,2073.41,0.0,63.21,0.0,63.21,0.0
tcachair-20,62.0,-,-,-,-,-,-,-,0.0,-,-
