Date,Category,Product Title,ASIN,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Direct Conversion Rate,Order Quantity,Product Conversion Rate,Order Conversion Rate,Commission Rate,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Total Earnings
2026-07-17,others,others,others,21,6,-,2,-,2,0.00,0.00,0.00,738.99,2,0,738.99,22.17,0.00,0.00,22.17
2026-07-17,Furniture,,B00TYE4QXU,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-07-17,Furniture,,B016OIF2JU,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-07-17,Unknown,None,None,30,-,-,4,-,4,13.33,13.33,2.99,513.12,4,1,513.12,15.39,49.99,1.50,13.89
