Date,Category,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Direct Conversion Rate,Order Quantity,Product Conversion Rate,Order Conversion Rate,Commission Rate,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Bonus,Total Earnings
2026-07-22,Furniture,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-
2026-07-22,others,4,4,1,5,0.00,5,0.00,0.00,0.00,3142.77,5,1,1383.96,41.52,49.99,1.50,0.00,40.02
2026-07-22,Unknown,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-
