Tracking Id,Clicks,Items Ordered,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Returned Revenue,Total Earnings,Bonus,Items Shipped Earnings,Items Returned Earnings
tallchairadvi-20,75,-,-,-,-,-,-,-,0.00,-,-
tcachair-20,59,6,943.79,6,0,943.79,0.00,28.54,0.00,28.54,0.00
others,5,2,227.98,3,0,2276.78,0.00,68.30,0.00,68.30,0.00
