Tracking Id,Clicks,Items Ordered,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Returned Revenue,Total Earnings,Bonus,Items Shipped Earnings,Items Returned Earnings
others,5,5,1979.96,1,0,404.99,0.00,12.15,0.00,12.15,0.00
tcachair-20,45,-,-,-,-,-,-,-,0.00,-,-
tallchairadvi-20,81,-,-,4,0,2293.77,0.00,68.98,0.00,68.98,0.00
