Tracking Id,Clicks,Items Ordered,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Returned Revenue,Total Earnings,Bonus,Items Shipped Earnings,Items Returned Earnings
others,5,2,227.98,2,0,227.98,0.00,6.84,0.00,6.84,0.00
tallchairadvi-20,67,-,-,-,-,-,-,-,0.00,-,-
tcachair-20,60,9,961.69,9,0,961.69,0.00,29.25,0.00,29.25,0.00
