Date,Category,Clicks,Indirect Items Ordered,Direct Items Ordered,Items Ordered,Direct Conversion Rate,Order Quantity,Product Conversion Rate,Order Conversion Rate,Commission Rate,Ordered Revenue,Items Shipped,Items Returned,Items Shipped Revenue,Items Shipped Earnings,Items Returned Revenue,Items Returned Earnings,Bonus,Total Earnings
2026-07-31,Furniture,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,-
2026-07-31,others,5,4,1,5,0.00,5,0.00,0.00,0.00,3109.76,5,1,3109.76,93.56,49.99,1.50,0.00,92.06
